date_received	product	sub_product	issue	sub_issue	consumer_complaint_narrative	company_public_response	company	state	zip_code	tags	consumer_consent_provided	submitted_via	date_sent_to_company	company_response_to_consumer	timely_response	consumer_disputed	complaint_id
2014-09-16	Consumer Loan	Vehicle loan	Problems when you are unable to pay				CONSUMER PORTFOLIO SERVICES, INC.	MN	55419			Web	2014-09-19	Closed with non-monetary relief	True	No	1030375
2017-04-21	Credit reporting		Credit reporting company's investigation	Inadequate help over the phone		Company has responded to the consumer and the CFPB and chooses not to provide a public response	TRANSUNION INTERMEDIATE HOLDINGS, INC.	IL	604XX			Web	2017-04-21	Closed with explanation	True	No	2447205
2017-04-21	Bank account or service	Checking account	Deposits and withdrawals			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	TX	75089		Consent not provided	Web	2017-04-21	Closed with monetary relief	True	No	2447714
2017-04-18	Bank account or service	Other bank product/service	Problems caused by my funds being low			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF THE WEST	CA	91745			Referral	2017-04-19	Closed with explanation	True	No	2440657
2017-04-06	Bank account or service	Savings account	Account opening, closing, or management			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	CA	92056	Older American	Consent not provided	Web	2017-04-06	Closed with explanation	True	No	2422888
2017-04-05	Consumer Loan	Installment loan	Managing the loan or lease				BBVA COMPASS FINANCIAL CORPORATION	TX	75051			Web	2017-04-06	Closed with monetary relief	True	No	2422207
2017-04-19	Debt collection	Credit card	Communication tactics	Frequent or repeated calls			PORTFOLIO RECOVERY ASSOCIATES INC	NJ	083XX			Web	2017-04-19	Closed with non-monetary relief	True	No	2443295
2017-04-19	Mortgage	Conventional fixed mortgage	Loan servicing, payments, escrow account			Company believes it acted appropriately as authorized by contract or law	SCHOOLSFIRST FEDERAL CREDIT UNION	CA	926XX	Older American		Web	2017-04-19	Closed with explanation	True	No	2442896
2017-04-18	Credit card		Billing statement			Company has responded to the consumer and the CFPB and chooses not to provide a public response	CITIBANK, N.A.	CA	931XX			Web	2017-04-18	Closed with monetary relief	True	No	2440129
2017-03-31	Mortgage	Other mortgage	Loan servicing, payments, escrow account			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	DC	20002			Referral	2017-04-07	Closed with explanation	True	No	2413477
2017-04-19	Credit card		Credit determination			Company has responded to the consumer and the CFPB and chooses not to provide a public response	ZIONS BANCORPORATION	AZ	86409			Referral	2017-04-20	Closed with explanation	True	No	2443331
2017-04-20	Debt collection	I do not know	Disclosure verification of debt	Not given enough info to verify debt			PORTFOLIO RECOVERY ASSOCIATES INC	TX	75287			Web	2017-04-20	Closed with non-monetary relief	True	No	2443956
2017-03-22	Credit reporting		Incorrect information on credit report	Information is not mine		Company has responded to the consumer and the CFPB and chooses not to provide a public response	EXPERIAN DELAWARE GP	AP	96375	Older American	Consent not provided	Web	2017-03-22	Closed with non-monetary relief	True	No	2397154
2017-03-23	Debt collection	Other (i.e. phone, health club, etc.)	Disclosure verification of debt	Not given enough info to verify debt			AmerAssist A/R Solutions, Inc.	CA	91344			Web	2017-03-23	Closed with explanation	False	No	2401435
2017-04-19	Mortgage	Other mortgage	Application, originator, mortgage broker				QUICKEN LOANS, INC.	WA	98272			Web	2017-04-19	Closed with explanation	True	No	2442464
2017-04-19	Credit card		Closing/Cancelling account			Company has responded to the consumer and the CFPB and chooses not to provide a public response	CITIBANK, N.A.	PA	176XX			Web	2017-04-19	Closed with explanation	True	No	2439502
2017-03-09	Debt collection	I do not know	False statements or representation	Indicated committed crime not paying	in XX/XX/2014 i have moved out a apartment complex called XXXX in XXXX TX and they reported some fees to a collection company called National credit XXXX i advised them i have a letter that i turned my keys and garage opener and that they done the walk through with me and they kep saying that im refusing to pay and that they will take me to court i want some of the fees lowered and for them to work with me and they refuse	Company believes it acted appropriately as authorized by contract or law	National Credit Systems,Inc.	TX	750XX		Consent provided	Web	2017-03-09	Closed with explanation	True	No	2379040
2017-04-18	Mortgage	Conventional fixed mortgage	Loan modification,collection,foreclosure				CITIZENS FINANCIAL GROUP, INC.	NH	03103			Postal mail	2017-04-18	In progress	True	No	2439851
2017-04-18	Debt collection	Payday loan	Improper contact or sharing of info	Contacted me after I asked not to		Company has responded to the consumer and the CFPB and chooses not to provide a public response	SOUTHERN MANAGEMENT CORP.	TX	782XX			Web	2017-04-19	Closed with explanation	True	No	2441319
2017-03-30	Bank account or service	(CD) Certificate of deposit	Account opening, closing, or management				DISCOVER BANK	MT	59624	Older American		Phone	2017-03-30	Closed with explanation	True	No	2412549
2017-04-20	Credit reporting		Incorrect information on credit report	Account terms		Company has responded to the consumer and the CFPB and chooses not to provide a public response	TRANSUNION INTERMEDIATE HOLDINGS, INC.	TX	773XX			Web	2017-04-20	Closed with explanation	True	No	2444620
2013-05-29	Mortgage	Other mortgage	Loan modification,collection,foreclosure				JPMORGAN CHASE & CO.	MI	48382	Servicemember		Fax	2013-05-31	Closed with explanation	True	No	418505
2017-04-20	Debt collection	I do not know	Cont'd attempts collect debt not owed	Debt is not mine		Company has responded to the consumer and the CFPB and chooses not to provide a public response	Professional Debt Mediation, Inc.	CO	80817	Servicemember	Consent not provided	Web	2017-04-20	Closed with explanation	True	No	2445232
2017-04-20	Credit card		Identity theft / Fraud / Embezzlement				AMERICAN EXPRESS CENTURION BANK	NE	68118			Phone	2017-04-20	Closed with explanation	True	No	2444254
2017-04-20	Bank account or service	Checking account	Account opening, closing, or management				BANK OF AMERICA, NATIONAL ASSOCIATION	CA	925XX			Web	2017-04-20	In progress	True	No	2444948
2017-04-13	Credit card		Other				DISCOVER BANK	VA	23804			Referral	2017-04-14	Closed with explanation	True	No	2433235
2017-04-17	Prepaid card	Gift or merchant card	Managing, opening, or closing account				Blackhawk Network Holdings Inc.	IA	528XX			Web	2017-05-03	In progress	True	No	2438105
2015-02-23	Bank account or service	Other bank product/service	Making/receiving payments, sending money				WELLS FARGO BANK, NATIONAL ASSOCIATION	NY	12047			Web	2015-02-23	Closed with explanation	True	No	1251272
2017-04-18	Debt collection	Medical	Disclosure verification of debt	Not given enough info to verify debt			Receivables Management Partners, LLC	IN	46235			Web	2017-04-18	Closed with explanation	True	No	2439349
2017-03-04	Mortgage	Conventional fixed mortgage	Loan modification,collection,foreclosure				Ditech Financial LLC	FL	342XX			Referral	2017-03-04	Closed with explanation	True	No	2371656
2017-03-04	Bank account or service	Savings account	Deposits and withdrawals				CITIZENS FINANCIAL GROUP, INC.	PA	17602		Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371577
2017-04-04	Debt collection	I do not know	Cont'd attempts collect debt not owed	Debt is not mine		Company has responded to the consumer and the CFPB and chooses not to provide a public response	Performant Financial Corporation	CO	80013		Consent not provided	Web	2017-04-18	Closed with explanation	True	No	2419045
2017-04-05	Student loan	Non-federal student loan	Dealing with my lender or servicer	Need information about my balance/terms			TRANSWORLD SYSTEMS INC	FL	327XX			Web	2017-04-18	In progress	True	No	2421146
2017-04-21	Debt collection	Credit card	Disclosure verification of debt	Not given enough info to verify debt		Company believes it acted appropriately as authorized by contract or law	Blatt, Hasenmiller, Leibsker & Moore, LLC	IL	62640			Postal mail	2017-04-24	Closed with explanation	True	No	2446017
2017-04-19	Consumer Loan	Vehicle loan	Shopping for a loan or lease			Company has responded to the consumer and the CFPB and chooses not to provide a public response	CarFinance Capital LLC	WA	98272		Consent not provided	Web	2017-04-19	Closed with explanation	True	No	2443729
2017-03-04	Debt collection	Other (i.e. phone, health club, etc.)	Cont'd attempts collect debt not owed	Debt was paid			First Advantage LNS Inc.	TX	77241		Consent not provided	Web	2017-03-04	In progress	False	No	2371584
2017-04-18	Credit card		Other fee			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BARCLAYS BANK DELAWARE	CA	93940	Servicemember	Consent not provided	Web	2017-04-18	Closed with explanation	True	No	2439723
2017-03-22	Credit reporting		Credit reporting company's investigation	Investigation took too long		Company has responded to the consumer and the CFPB and chooses not to provide a public response	EXPERIAN DELAWARE GP	MO	63042		Consent not provided	Web	2017-03-22	Closed with explanation	True	No	2399157
2016-09-01	Debt collection	I do not know	False statements or representation	Attempted to collect wrong amount	CREDENCE EXCELLENCE BEYOND BELIEF PROCESSED MY PAYMENT TWICE AND I HAVE BEEN TRYING TO GET THE REFUND FOR OVER A MONTH. I KEEP GETTING THE RUN AROUND AND HAVE PROVIDED PROOF AND STILL NO REFUND. THEY COULD BE PROCESSING DOUBLE PAYMENTS FOR A LOT OF ACCOUNTS. WHO KNOWS.	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Credence Resource Management, LLC	CA	925XX		Consent provided	Web	2016-09-01	Closed with explanation	True	No	2092269
2017-04-18	Credit card		Credit determination				WELLS FARGO BANK, NATIONAL ASSOCIATION	KS	66605			Web	2017-04-18	Untimely response	False	No	2439802
2017-04-19	Mortgage	Other mortgage	Loan modification,collection,foreclosure			Company has responded to the consumer and the CFPB and chooses not to provide a public response	M&T BANK CORPORATION	NC	28539			Referral	2017-04-19	Closed with explanation	True	No	2443431
2017-03-08	Debt collection	Other (i.e. phone, health club, etc.)	Disclosure verification of debt	Right to dispute notice not received		Company believes it acted appropriately as authorized by contract or law	National Credit Systems,Inc.	NC	27519		Consent not provided	Web	2017-03-08	Closed with explanation	True	No	2378707
2017-03-04	Bank account or service	Other bank product/service	Deposits and withdrawals		"I feel that Paypal has deceived me about their service because of 1 ) very limited, contradictory and poor information on their website. 2 ) customer service agents who stonewall, repeat provably incorrect information and contradict each other 3 ) repeated failures to respond or follow up with a response 4 ) claims that you can access your money by following various steps only to discover the money is still "" on hold. ''"		PAYPAL HOLDINGS INC.	DC	200XX		Consent provided	Web	2017-03-04	Closed with non-monetary relief	True	Yes	2371784
2017-04-19	Debt collection	Other (i.e. phone, health club, etc.)	Disclosure verification of debt	Not given enough info to verify debt			PORTFOLIO RECOVERY ASSOCIATES INC	AR	72734			Web	2017-04-19	Closed with explanation	True	No	2442950
2017-04-21	Credit card		Billing disputes			Company has responded to the consumer and the CFPB and chooses not to provide a public response	CITIBANK, N.A.	CA	94805	Older American		Fax	2017-04-21	Closed with explanation	True	No	2447149
2017-04-06	Mortgage	FHA mortgage	Loan modification,collection,foreclosure		"I do not feel I 've been getting fair opportunities to obtain a new loan modification to keep my home. Even the first modification in XX/XX/XXXX was questionable whether it was fair, my 3.75 % rate remain the same, even though rates were low in XXXX. And a list of following complaints and questions about my mortgage company : Why I am not able to apply my equity to my {$25000.00} plus loan deficit and put the loan in the rear and can get a new modification from my loan company? 
I had and have multiple reduce of incomes over the last two years. 
Previous modification in XXXX was not reduced enough to support my income. My 3.75 % interest remain the same, although rates were down considerably during XX/XX/XXXX. 
I am asking for an investigation of the last mitigation from my loan company whether I was within the 31 % of my income bracket. 
What about being able to get a Tier 2 in house modification? 
I had several hardships in the last two years, but I feel they are overlooked and have not been considered viable to getting a loan modification. 
I am requesting a copy of my loan company DEED, to see if my title was accepted and delivered to my loan company from my original mortgage company, to show if my current loan company has legally obtained my deed. 
I am requesting an investigation into whether my equity in my home has been used by my current loan company during my several requests for trying to negotiate ways to keep my home ... however, my equity has not been used to pay off my {$25.00}, 000 loan deficits. Why??????? 
Whether my income was low or high, the I never was within the 31 % bracket to obtain a new modification, Why???? 
Who are my loan company lawyers that are calling asking for personal information, but do not say who they are and who they represent? Who are the lawyers putting foreclosure information on my door, but do not say who they represent? Are they my loan company lawyers? 
I am investigating whether my loan company is legally my loan company that I been paying since XXXX? Was my deed and title transferred through acceptance and delivery? Or was this another "" robo copy '' transfer? '' I am submitting a new Mortgage assistance application on XXXX, hoping my loan company will negotiate another modification, if my loan company is my legal mortgage loan company."	Company has responded to the consumer and the CFPB and chooses not to provide a public response	WELLS FARGO BANK, NATIONAL ASSOCIATION	MD	207XX		Consent provided	Web	2017-04-06	Closed with explanation	True	No	2420235
2017-04-03	Debt collection	Other (i.e. phone, health club, etc.)	False statements or representation	Attempted to collect wrong amount		Company has responded to the consumer and the CFPB and chooses not to provide a public response	Telerecovery Corporation	LA	70560	Servicemember	Consent not provided	Web	2017-04-03	Closed with explanation	False	No	2417259
2017-04-19	Student loan	Federal student loan servicing	Dealing with my lender or servicer	Received bad information about my loan			AES/PHEAA	CA	914XX			Web	2017-04-19	Closed with explanation	True	No	2442800
2017-04-19	Debt collection	Medical	Disclosure verification of debt	Not given enough info to verify debt			Bonded Collections of Rice Lake Inc	WI	54805			Web	2017-04-19	Closed with explanation	True	No	2441760
2014-07-01	Credit reporting		Incorrect information on credit report	Account status			TRANSUNION INTERMEDIATE HOLDINGS, INC.	GA	30044			Web	2014-07-02	Closed with explanation	True	No	918977
2017-04-03	Bank account or service	Other bank product/service	Deposits and withdrawals				JPMORGAN CHASE & CO.	NY	11771		Other	Web	2017-04-04	Closed with explanation	True	No	2415992
2017-03-04	Credit card		Billing disputes		In XX/XX/2016, I ordered XXXX dog pillows from XXXX online. The items were returned because it was not what I expected. I paid out of pocket to have the items returned because I did not want the credit card ( Comenity Bank ) to be charged. This transpired less the 10 days from initial order. The credit card sent me a bill because XXXX did not report to the credit card the items where returned within the time so not to get a charge from the credit card. I was not successful when I tried to get this error resolved. Comenity Bank representative advise me to pay them although I did not have the items. This situation is very discouraging because I returned the items within the time so the credit card would not be charge, as well as the credit card fees for items that where returned.		Alliance Data Card Services	GA	302XX		Consent provided	Web	2017-03-04	Closed with monetary relief	True	No	2371681
2017-04-03	Debt collection	Credit card	Disclosure verification of debt	Not given enough info to verify debt			CAPITAL ONE FINANCIAL CORPORATION	NY	10301			Referral	2017-04-04	Closed with explanation	True	No	2416676
2017-03-05	Mortgage	FHA mortgage	Loan servicing, payments, escrow account		"I applied for a mortgage in XXXX and at closing paid the required escrow. In early XXXX, my lending, Mortgage Solutions Financial, send me a check for about XXXX saying that that money was escrow overage. When I called my lender, they stated the money was mine to spend. I was n't aware that anything was wrong. 

Around 12 months later, XX/XX/XXXX, I received a notice that my escrow was short XXXX. My lender is now requiring that I pay an additional XXXX ( new payment of XXXX ) per month to cure the shortage! Upon researching, I discovered that my taxes were assessed at land value for the year that I closed ( XXXX ) ; however, I do n't know why my lender would NOT have adjusted my expected escrow for the full purchase price the following year ( XXXX for year XXXX ). I ca n't afford this dramatic increase in mortgage payment."		MORTGAGE SOLUTIONS OF COLORADO	TX	770XX		Consent provided	Web	2017-03-05	Closed with explanation	True	No	2371603
2017-04-20	Debt collection	Payday loan	Communication tactics	Threatened to take legal action			SPEEDY CASH INTERMEDIATE HOLDINGS CORP	OH	44805			Web	2017-04-21	Closed with explanation	True	No	2444012
2017-04-19	Mortgage	Conventional adjustable mortgage (ARM)	Loan servicing, payments, escrow account				Fay Servicing, LLC	MA	023XX			Web	2017-04-20	Closed with explanation	True	No	2442663
2017-04-19	Mortgage	Conventional fixed mortgage	Loan servicing, payments, escrow account				PENNYMAC LOAN SERVICES, LLC.	TN	37207			Web	2017-04-19	Closed with explanation	True	No	2443634
2017-04-18	Mortgage	Conventional fixed mortgage	Loan servicing, payments, escrow account				Ditech Financial LLC	AZ	851XX			Web	2017-04-18	In progress	True	No	2439521
2017-04-19	Mortgage	Conventional fixed mortgage	Loan modification,collection,foreclosure				NATIONSTAR MORTGAGE	CA	919XX			Web	2017-04-19	Closed with explanation	True	No	2443062
2017-04-19	Mortgage	Conventional fixed mortgage	Loan servicing, payments, escrow account				Seterus, Inc.	MD	212XX			Web	2017-04-19	Closed with explanation	True	No	2442089
2017-03-21	Credit reporting		Incorrect information on credit report	Information is not mine		Company has responded to the consumer and the CFPB and chooses not to provide a public response	EXPERIAN DELAWARE GP	NY	11434			Referral	2017-03-22	Closed with explanation	True	No	2397489
2017-03-04	Debt collection	Other (i.e. phone, health club, etc.)	Cont'd attempts collect debt not owed	Debt is not mine	I paid off another account a couple of years ago with COLBRSRV and then they decided to add this debt to my report after I paid off the other debt. I have never been to XXXX before. I have asked for a copy of their investigation, but they refuse to provide it. I have also asked that a HIPAA Compliance officer provide signatures and any other documentation that shows that this is my debt, but nobody is providing anything. There are XXXX debts from XXXX on XXXX totalling XXXX and XXXX debt on XXXX totalling XXXX. Neither of these debts are mine.		Collection Bureau Services, Inc.	ID	837XX		Consent provided	Web	2017-03-04	Closed with explanation	True	Yes	2371772
2017-04-18	Debt collection	Medical	Disclosure verification of debt	Not given enough info to verify debt			Senex Services Corp.	IN	46235			Web	2017-04-18	Untimely response	False	No	2439092
2017-03-11	Consumer Loan	Installment loan	Taking out the loan or lease		On behalf of my dad XXXX who is XXXX years of age. I am requesting an investigation as to why XXXX accounts were opened in his name in XX/XX/2016. Personal Line of Credit in the amount of {$8200.00}, Personal Loan in the amount of $ 16,000.00and a Credit Card in the amount of {$2000.00}. He does not remember signing documents, he was diagnosed with early signs of XXXX. I remember him receiving several calls from a Wells Fargo representative female caller during the months of XXXX and XX/XX/2016 and messages being left on the answering machine for him to return their calls. He advised that they told him he could earn more money on his accounts. I kept asking him who and what are they trying to sell you and he advised they are trying to help me. Enclosed please find documents to support my request. There were withdrawals when the accounts were opened and he indicated he does not remember receiving the monies. Just recently I learned that several employees were trying to open several accounts during 2016.	Company has responded to the consumer and the CFPB and chooses not to provide a public response	WELLS FARGO BANK, NATIONAL ASSOCIATION	NJ	086XX		Consent provided	Web	2017-03-14	Closed with explanation	True	No	2382679
2017-04-05	Debt collection	Other (i.e. phone, health club, etc.)	Disclosure verification of debt	Not given enough info to verify debt		Company believes it acted appropriately as authorized by contract or law	Blakely-Witt and Associates, Inc.	TX	77078		Consent not provided	Web	2017-04-05	Closed with explanation	True	No	2419538
2017-03-16	Mortgage	Other mortgage	Loan servicing, payments, escrow account				Ditech Financial LLC					Phone	2017-03-16	Closed with explanation	True	No	2391064
2013-12-03	Mortgage	Other mortgage	Loan servicing, payments, escrow account				OCWEN LOAN SERVICING LLC	FL	32716			Referral	2013-12-04	Closed with explanation	True	No	620269
2017-04-11	Bank account or service	Checking account	Account opening, closing, or management				BBVA COMPASS FINANCIAL CORPORATION	MA	02151			Web	2017-04-12	Closed with monetary relief	True	No	2429273
2017-04-20	Mortgage	FHA mortgage	Settlement process and costs				BANK OF AMERICA, NATIONAL ASSOCIATION	PA	19027			Web	2017-04-20	In progress	True	No	2445713
2017-03-04	Mortgage	Other mortgage	Settlement process and costs		"In XXXX Ocwen Loan Servicing used its cozy relationship with failing Homeward Residential and American Home Mortgage to phony up a pretender XXXX beneficiary lawsuit to rip off my home I own free and clear. In XXXX Ocwen Loan Servicing used robo-lawyer "" XXXX '' who is scum of the planet, who only followed Ocwen Loan Servicing scumbags mentally sick litigation lawyers instructions, foaming out of the mouth like a bunch of XXXX freaks on steroids, committed XXXX phony lawsuit fraud which has caused me and my family serious harm during the time I was hospitalized with XXXX. Ocwen Loan Servicing / XXXX / American Home Mortgage / Homeward Residential all have slandered my title using fraud. XXXX, I retained another incompetent lawyer who filed lawsuit against Ocwen Loan Servicing. Ocwen Loan Servicing scums offered me a {$660000.00} loan modification in agreement I dismiss the pending action and keep Ocwen 's fraud cover-ups a big hush hush. At that time the trustee sale was already cancelled so I did n't submit and bend over to scum Ocwen demands, I declined the offer. I do n't owe XXXX Ocwen a single penny. XXXX I retained another incompetent lawyer who filed another lawsuit, during pending litigation Ocwen attempted to push through another XXXX fraudulent trustee sale. My incompetent lawyer appeared before the court to stop Ocwen Loan Servicing fraudulent foreclosure and its cozy buddy XXXX fraudulent trustee sale. My motion was denied because my incompetent lawyer did n't follow the rules of the court and did n't serve all the defendants properly. I fired my lawyer, then I was in pro-per repersenting myself with little money left. Ocwen Loan Servicing used my health troubles and having little money left as another weapon to take advantage of me. During the time I was representing myself in pro-per Ocwen Loan Servicing, its cozy buddy Altisource, and its XXXX lawyer "" XXXX '' all took advantage of my XXXX and then increased the fraudulent loan modification offer to {$750000.00} with a higher interest rate, then made threats that if I did n't sign the final none negotiable {$750000.00} loan modification offer Ocwen Loan Servicing would instruct its buddy XXXX to proceed with the fraudulent trustee sale and I would of lost my home I own free and clear for years. I have XXXX so hard for me to fight a bunch of XXXX. I was forced to sign the fraudulent {$750000.00} loan modification offer under over the top stress fearing for little son living in the streets while Ocwen XXXX fly around in private jets, probably hanging of with XXXX best friend who owns a island and a private jet? The XXXX all need to be brought down, and they will. Recently, Ocwen Loan Servicing used robo-employee "" XXXX '' only following Ocwen XXXX litigation lawyers instruction, she continues to harass me and cover up Ocwen intentional fraud against me. I do not owe Ocwen a single penny. I will be retaining attorney XXXX out of XXXX sometime around XXXX, when my Investigators all complete its final case. You Ocwen XXXX better leave me the XXXX alone!"		OCWEN LOAN SERVICING LLC	CA	917XX		Consent provided	Web	2017-03-04	Closed with explanation	True	Yes	2371705
2017-03-04	Mortgage	Conventional adjustable mortgage (ARM)	Loan servicing, payments, escrow account				Seterus, Inc.	MN	55449		Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371643
2017-04-19	Bank account or service	Checking account	Deposits and withdrawals			Company has responded to the consumer and the CFPB and chooses not to provide a public response	U.S. BANCORP	CA	945XX			Web	2017-04-19	Closed with monetary relief	True	No	2441593
2017-04-18	Debt collection	Credit card	Cont'd attempts collect debt not owed	Debt was paid			American Mediation	CA	94547			Web	2017-04-18	Untimely response	False	No	2441201
2017-04-08	Student loan	Federal student loan servicing	Dealing with my lender or servicer	Don't agree with fees charged			AES/PHEAA	WV	262XX			Web	2017-04-08	Closed with explanation	True	No	2425925
2017-04-08	Credit card		Credit card protection / Debt protection		"I applied for the Barclays Gold Luxury Card under the impression that annual fees for XXXX military would be waived while I was in possession of it and maintained good standing. I received a letter stating this and also followed up with the organization late in XXXX to ensure there were no changes in store. I was assured that no changes would be made for military members. 

The intent of my application was clear, however I just received a letter stating that I will be required to pay a {$990.00} annual fee beginning XX/XX/XXXX. I feel I should be grandfathered into the annual fee waiver as I applied before this changed as a military member. Additionally, this will financially impact me negatively."	Company has responded to the consumer and the CFPB and chooses not to provide a public response	BARCLAYS BANK DELAWARE	IL	098XX		Consent provided	Web	2017-04-10	Closed with explanation	True	No	2426335
2017-03-15	Mortgage	Other mortgage	Loan modification,collection,foreclosure			Company has responded to the consumer and the CFPB and chooses not to provide a public response	WELLS FARGO BANK, NATIONAL ASSOCIATION	NY	11214			Referral	2017-03-16	Closed with explanation	True	No	2388517
2014-12-20	Debt collection	Credit card	Taking/threatening an illegal action	Attempted to/Collected exempt funds			Allen & Withrow	AR	72701			Web	2014-12-23	Closed with explanation	True	Yes	1165478
2017-04-21	Debt collection	Other (i.e. phone, health club, etc.)	Disclosure verification of debt	Not disclosed as an attempt to collect			Credit Systems International, Inc.	TX	752XX			Web	2017-04-25	Closed with explanation	True	No	2446160
2017-04-18	Bank account or service	Checking account	Account opening, closing, or management			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	FL	33908		Consent not provided	Web	2017-04-18	Closed with explanation	True	No	2440707
2017-04-19	Credit card		Other fee				BARCLAYS BANK DELAWARE	NE	681XX	Servicemember		Web	2017-04-19	Closed with explanation	True	No	2439539
2014-07-19	Debt collection	Auto	Cont'd attempts collect debt not owed	Debt is not mine			FINEX Group LLC	CA	93703			Web	2014-07-19	Closed with explanation	False	No	945040
2017-04-18	Bank account or service	Other bank product/service	Account opening, closing, or management			Company believes it acted appropriately as authorized by contract or law	UNITED SERVICES AUTOMOBILE ASSOCIATION	FL	32878	Servicemember		Referral	2017-04-19	Closed with explanation	True	No	2441092
2017-04-03	Bank account or service	Checking account	Account opening, closing, or management			Company has responded to the consumer and the CFPB and chooses not to provide a public response	ALLY FINANCIAL INC.	CA	95207			Referral	2017-04-04	Closed with explanation	True	No	2416373
2017-04-04	Bank account or service	Checking account	Account opening, closing, or management		"This is a complaint against First Hawaiian Bank for its grossly incompetent management of its supposedly new and improved website. I 've been a customer since approximately 2003, and I have never had problems with my account as bad as I have in the last few months with the roll-out of the new site. 

Tonight, I spent one hour trying very hard to access my account online and then trying to transfer funds. Along the way, I made two phone calls to FHB Online where I spoke with a total of four representatives. Not one of them had even the slightest clue of how badly the site was performing. Specifically, every time I tried to perform ANY operation, the site automatically displayed an error message. When I tried to make an external transfer FHB Online stopped the attempted transaction and said it would send a code to my phone for verification. But FHB never called my phone -- even after an hour. The broken system did nearly the same thing when I tried to ( re ) add my XXXX account as an external account. FHB displayed a message that my XXXX account credentials were invalid. ( Yet these were the same credentials that I have been using on my XXXX account for years. So there was nothing wrong with my XXXX online ID, password, or pin. ) But far and away, the very worst issue was my truly sad experience with "" XXXX '' in the Online Banking Department. ( She said it was bank policy to refuse to provide her last name or even an employee number. ) Despite the incredible amount of time XXXX and I spent on the phone with her asking me the same questions over-and-over again, she could not understand that the FHB site was not performing as she expected it to. For example, she insisted there would be a blue arrow in front of my name. After asking me about this three times, I refused to answer the same question anymore. I had enough with the FHB site and its employees who were deeply in the dark about the site 's issues. 

There is obviously something seriously wrong with the FHB website. It is not performing adequately. While I was on the phone with FHB, I had absolutely no problem accessing my XXXX and XXXX accounts. So the issue is not my connection -- and hopefully not even my XXXX browser. Clearly my access to funds through the site is blocked. But I am far more concerned with FHB 's employees ' inability to troubleshoot, assist, or even acknowledge something is wrong."	Company believes complaint represents an opportunity for improvement to better serve consumers	FIRST HAWAIIAN, INC.	VA	220XX	Servicemember	Consent provided	Web	2017-04-04	Closed with explanation	True	No	2417043
2017-03-27	Bank account or service	Other bank product/service	Account opening, closing, or management			Company has responded to the consumer and the CFPB and chooses not to provide a public response	ALLY FINANCIAL INC.	GA	30236			Referral	2017-04-04	Closed with explanation	True	No	2405086
2017-04-09	Credit card		Billing disputes				DISCOVER BANK	CA	913XX			Web	2017-04-09	Closed with monetary relief	True	No	2426640
2017-04-10	Bank account or service	Other bank product/service	Account opening, closing, or management			Company believes it acted appropriately as authorized by contract or law	TCF NATIONAL BANK	IL	60631		Consent not provided	Web	2017-04-10	Closed with explanation	True	No	2427124
2017-04-19	Bank account or service	Checking account	Problems caused by my funds being low			Company has responded to the consumer and the CFPB and chooses not to provide a public response	WELLS FARGO BANK, NATIONAL ASSOCIATION	PA	19560		Consent not provided	Web	2017-04-19	Closed with monetary relief	True	No	2442282
2017-04-05	Bank account or service	Other bank product/service	Making/receiving payments, sending money			Company has responded to the consumer and the CFPB and chooses not to provide a public response	ALLY FINANCIAL INC.	NV	89179			Referral	2017-04-05	Closed with non-monetary relief	True	No	2421000
2017-03-09	Bank account or service	Checking account	Deposits and withdrawals			Company believes it acted appropriately as authorized by contract or law	UNITED SERVICES AUTOMOBILE ASSOCIATION	WI	540XX			Web	2017-04-19	Closed with explanation	True	No	2379967
2017-04-18	Debt collection	Payday loan	Taking/threatening an illegal action	Threatened arrest/jail if do not pay			Chaplain Financial Services LLC	ND	588XX			Web	2017-04-18	Untimely response	False	No	2441402
2017-04-17	Bank account or service	Other bank product/service	Account opening, closing, or management				PNC Bank N.A.	PA	15021	Older American		Web	2017-04-18	In progress	True	No	2439184
2017-03-04	Student loan	Non-federal student loan	Can't repay my loan	Can't decrease my monthly payments			Navient Solutions, LLC.	FL	34113		Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371918
2017-04-11	Mortgage	Other mortgage	Application, originator, mortgage broker			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	CA	92629			Phone	2017-04-12	Closed with explanation	True	No	2430771
2017-03-05	Student loan	Federal student loan servicing	Dealing with my lender or servicer	Don't agree with fees charged			Navient Solutions, LLC.	VA	24179		Consent not provided	Web	2017-03-05	Closed with explanation	True	No	2371727
